Account,IsMonday,IsTuesday,IsWednesday,IsThursday,IsFriday,IsSaturday,IsSunday,TimeOfDay,GameOfDay,GameOfWeek,TimeControl,EloDifference,Color,Result,ICastledFirst,ICastledShort,ICastledLong,OppCastledShort,OppCastledLong,LastResultIsWin,LastResultIsDraw,LastResultIsLoss,2ndLastResultIsWin,2ndLastResultIsDraw,2ndLastResultIsLoss,MyNumMoves,OppNumMoves,MyTotalTime,OppTotalTime,MyAvgTPM,OppAvgTPM,TimeSinceLast,DailyWinPerc,DailyLossPerc,DailyDrawPerc,WeeklyWinPerc,WeeklyLossPerc,WeeklyDrawPerc,ECO_A00,ECO_A40,ECO_A45,ECO_B10,ECO_B12,ECO_B13,ECO_D00,ECO_D02,ECO_D10,ECO_Other
1,0,0,1,0,0,0,0,85794,19,154,600,-58,1,2,0,0,0,0,0,0,0,1,0,0,1,8,8,44.8,50.4,5.6,6.3,47.9,50.0,50.0,0.0,45.1,50.33,4.58,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,4675,20,155,600,-11,1,2,0,1,0,1,0,0,0,1,0,0,1,29,30,334.1,327.5,11.52,10.92,5236.2,47.37,52.63,0.0,44.81,50.65,4.55,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,5376,21,156,600,32,0,0,1,1,0,0,1,0,0,1,0,0,1,46,46,255.3,375.8,5.55,8.17,366.9,45.0,55.0,0.0,44.52,50.97,4.52,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,30350,13,157,600,-49,0,2,1,1,0,0,0,1,0,0,0,0,1,21,21,121.3,168.5,5.78,8.02,24718.7,25.0,75.0,0.0,44.87,50.64,4.49,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,30655,14,158,600,1,0,0,0,0,0,0,0,0,0,1,1,0,0,6,5,6.0,11.3,1.0,2.26,183.7,23.08,76.92,0.0,44.59,50.96,4.46,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,30667,15,159,600,14,1,0,0,0,1,1,0,1,0,0,0,0,1,68,68,481.0,367.5,7.07,5.4,6.0,28.57,71.43,0.0,44.94,50.63,4.43,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,0,0,0,31567,15,160,600,8,0,2,1,0,1,0,0,1,0,0,1,0,0,49,48,332.1,571.5,6.78,11.91,419.0,35.71,64.29,0.0,45.28,50.31,4.4,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,32493,15,161,600,-34,0,2,1,1,0,1,0,0,0,1,1,0,0,35,35,436.2,439.3,12.46,12.55,593.9,35.71,64.29,0.0,45.0,50.62,4.38,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,33389,15,161,600,5,0,2,0,0,0,0,1,0,0,1,0,0,1,23,23,279.0,213.2,12.13,9.27,459.8,35.71,64.29,0.0,45.0,50.62,4.38,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,33903,14,162,600,-31,1,0,0,1,0,1,0,0,0,1,0,0,1,22,22,218.3,163.4,9.92,7.43,235.0,30.77,69.23,0.0,44.72,50.93,4.35,0,0,0,1,0,0,0,0,0,0
