Account,IsMonday,IsTuesday,IsWednesday,IsThursday,IsFriday,IsSaturday,IsSunday,TimeOfDay,GameOfDay,GameOfWeek,TimeControl,EloDifference,Color,Result,ICastledFirst,ICastledShort,ICastledLong,OppCastledShort,OppCastledLong,LastResultIsWin,LastResultIsDraw,LastResultIsLoss,2ndLastResultIsWin,2ndLastResultIsDraw,2ndLastResultIsLoss,MyNumMoves,OppNumMoves,MyTotalTime,OppTotalTime,MyAvgTPM,OppAvgTPM,TimeSinceLast
0,0,0,0,1,0,0,0,72590,3,3,600,-56,0,2,1,1,0,0,0,1,0,0,1,0,0,28,28,289.5,269.5,10.34,9.62,222.3
0,0,0,0,1,0,0,0,73174,4,4,600,-39,1,2,0,0,0,0,0,0,0,1,1,0,0,7,8,105.3,52.1,15.04,6.51,294.5
0,0,0,0,1,0,0,0,73332,5,5,600,55,0,0,1,1,0,1,0,0,0,1,0,0,1,44,43,583.4,557.0,13.26,12.95,52.7
0,0,0,0,0,1,0,0,6114,6,6,600,6,1,2,0,0,0,1,0,1,0,0,0,0,1,20,21,193.5,241.4,9.68,11.5,18598.6
0,0,0,0,0,1,0,0,6563,7,7,600,-53,0,2,1,1,0,0,0,0,0,1,1,0,0,8,8,62.9,21.8,7.86,2.72,255.5
0,0,0,0,0,1,0,0,6656,8,8,600,20,0,0,1,1,0,0,1,0,0,1,0,0,1,39,38,340.8,355.4,8.74,9.35,30.1
0,0,0,0,0,1,0,0,59194,9,9,600,11,1,2,1,0,1,1,0,1,0,0,0,0,1,17,18,158.9,108.8,9.35,6.04,52197.2
0,0,0,0,0,1,0,0,59480,10,10,600,28,0,0,0,0,0,0,0,0,0,1,1,0,0,30,29,207.2,341.5,6.91,11.78,127.1
0,0,0,0,0,1,0,0,64748,11,11,600,-48,1,2,0,0,1,1,0,1,0,0,0,0,1,25,26,241.2,91.7,9.65,3.53,5060.8
0,0,0,0,0,1,0,0,67495,12,12,600,-3,1,0,1,0,1,1,0,0,0,1,1,0,0,28,28,490.4,514.0,17.51,18.36,2505.8
0,0,0,0,1,0,0,0,83008,1,1,600,-81,0,2,1,1,0,0,0,1,0,0,0,0,1,14,14,102.9,59.0,7.35,4.21,4162222.6
0,0,0,0,1,0,0,0,83181,2,2,600,-45,1,2,0,1,0,1,0,0,0,1,1,0,0,18,19,196.6,100.4,10.92,5.28,70.1
0,0,0,0,1,0,0,0,83496,3,3,600,-37,0,2,0,0,0,0,0,0,0,1,0,0,1,7,7,45.1,22.9,6.44,3.27,118.4
0,0,0,0,1,0,0,0,83574,4,4,600,-127,0,2,1,1,0,0,0,0,0,1,0,0,1,42,42,415.8,259.1,9.9,6.17,32.9
0,0,0,0,0,0,1,0,86356,5,5,600,-261,1,2,0,0,0,0,0,0,0,1,0,0,1,12,13,112.7,127.1,9.39,9.78,-429633.8
0,0,0,0,0,0,0,1,303,6,6,600,-269,0,2,1,1,0,1,0,0,0,1,0,0,1,44,44,500.3,247.4,11.37,5.62,234.3
0,0,0,0,0,0,0,1,70181,7,7,600,-233,1,0,1,1,0,1,0,0,0,1,0,0,1,37,37,494.3,434.7,13.36,11.75,69377.7
0,0,0,0,0,0,0,1,71355,8,8,600,-241,0,2,1,0,1,1,0,1,0,0,0,0,1,26,26,309.1,375.9,11.89,14.46,679.7
0,0,0,0,0,0,0,1,72086,9,9,600,27,1,0,1,1,0,0,0,0,0,1,1,0,0,46,46,524.6,293.9,11.4,6.39,421.9
0,0,1,0,0,0,0,0,57634,5,10,600,-40,1,2,1,1,0,1,0,1,0,0,0,0,1,25,26,312.3,249.7,12.49,9.6,157823.4
0,0,1,0,0,0,0,0,58213,6,11,600,84,0,0,0,1,0,1,0,0,0,1,1,0,0,26,25,494.0,588.3,19.0,23.53,266.7
0,0,1,0,0,0,0,0,67948,7,12,600,-40,0,2,1,0,1,0,0,1,0,0,0,0,1,12,12,152.4,155.9,12.7,12.99,9241.0
0,0,1,0,0,0,0,0,68265,8,13,600,-31,0,2,0,1,0,0,1,0,0,1,1,0,0,47,47,443.2,342.7,9.43,7.29,164.6
0,0,1,0,0,0,0,0,69062,9,14,600,12,1,1,0,0,0,1,0,0,0,1,0,0,1,56,56,580.5,379.2,10.37,6.77,353.8
0,0,1,0,0,0,0,0,75401,10,15,600,-49,1,2,1,0,1,1,0,0,1,0,0,0,1,13,14,98.0,64.8,7.54,4.63,5758.5
0,0,1,0,0,0,0,0,75572,11,16,600,-41,1,2,0,0,0,1,0,0,0,1,0,1,0,17,18,190.3,164.0,11.19,9.11,73.0
0,0,1,0,0,0,0,0,75965,12,17,600,-12,0,2,1,1,0,0,0,0,0,1,0,0,1,32,32,532.9,499.0,16.65,15.59,202.7
0,0,1,0,0,0,0,0,82073,13,18,600,-4,1,0,1,1,0,1,0,0,0,1,0,0,1,30,30,553.6,553.7,18.45,18.46,5575.1
0,0,0,0,0,0,0,1,83093,1,1,600,355,0,0,1,1,0,1,0,1,0,0,0,0,1,44,43,583.3,599.9,13.26,13.95,1037266.4
0,0,0,0,0,0,0,1,84340,2,2,600,355,1,2,0,1,0,1,0,1,0,0,1,0,0,29,30,414.5,362.7,14.29,12.09,663.7
0,0,0,0,0,0,0,1,85154,3,3,600,355,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0.1,4.7,0.1,4.7,399.5
0,0,0,0,0,0,0,1,85199,4,4,600,355,1,0,0,0,0,1,0,0,1,0,0,0,1,37,37,350.6,362.7,9.48,9.8,44.9
0,0,0,0,0,1,0,0,79094,1,1,600,54,1,2,0,0,0,0,0,1,0,0,0,1,0,6,7,78.7,68.1,13.12,9.73,11920344.4
0,0,0,0,0,0,1,0,84653,1,1,600,-123,0,2,0,0,0,0,0,0,0,1,1,0,0,17,17,258.0,189.7,15.18,11.16,64805480.3
0,0,0,0,0,1,0,0,64064,1,1,600,157,1,0,0,0,0,0,0,0,0,1,0,0,1,20,20,177.8,317.8,8.89,15.89,44039553.0
0,0,0,0,0,1,0,0,85543,2,2,600,103,0,0,1,1,0,0,1,1,0,0,0,0,1,27,26,238.6,198.5,8.84,7.63,21301.2
0,0,0,0,0,1,0,0,86005,3,3,600,92,0,0,0,0,0,0,0,1,0,0,1,0,0,34,34,286.4,185.4,8.42,5.45,223.4
0,0,0,0,0,0,1,0,106,4,4,600,57,1,0,0,0,0,1,0,1,0,0,1,0,0,33,33,367.0,160.3,11.12,4.86,214.6
0,0,0,0,0,0,1,0,648,5,5,600,31,1,0,0,0,1,1,0,1,0,0,1,0,0,21,21,209.6,85.3,9.98,4.06,175.0
0,0,0,0,0,0,1,0,963,6,6,600,57,1,0,0,1,0,1,0,1,0,0,1,0,0,25,25,260.2,296.3,10.41,11.85,105.4
0,0,0,0,0,0,1,0,1661,7,7,600,-85,0,2,0,0,0,0,0,1,0,0,1,0,0,14,14,82.5,70.4,5.89,5.03,437.8
0,0,0,0,0,0,1,0,1933,8,8,600,12,1,0,0,0,0,1,0,0,0,1,1,0,0,34,34,313.8,298.6,9.23,8.78,189.5
0,0,0,0,0,0,1,0,2710,9,9,600,-296,0,0,0,0,0,1,0,1,0,0,0,0,1,50,49,545.6,355.5,10.91,7.26,463.2
0,0,0,0,0,0,1,0,3951,10,10,600,175,0,0,0,0,0,1,0,1,0,0,1,0,0,27,26,257.4,208.9,9.53,8.03,695.4
0,0,0,0,0,0,1,0,4433,11,11,600,-113,1,2,0,1,0,1,0,1,0,0,1,0,0,19,20,202.2,228.1,10.64,11.41,224.6
0,0,0,0,0,0,1,0,50682,12,12,600,9,0,0,1,1,0,0,0,0,0,1,1,0,0,61,60,490.1,370.4,8.03,6.17,46046.8
0,0,0,0,0,0,1,0,51588,13,13,600,82,0,0,0,0,0,0,1,1,0,0,0,0,1,15,14,134.4,111.5,8.96,7.96,415.9
0,0,0,0,0,0,1,0,52061,14,14,600,-34,1,0,0,1,0,1,0,1,0,0,1,0,0,40,40,552.0,517.9,13.8,12.95,338.6
0,0,0,0,0,0,0,1,84798,1,15,600,19,0,0,1,0,1,0,0,1,0,0,1,0,0,38,37,537.9,278.9,14.16,7.54,118585.0
0,0,0,0,0,0,0,1,85848,2,16,600,-12,1,2,0,0,1,0,1,1,0,0,1,0,0,27,27,232.0,181.9,8.59,6.74,512.1
0,0,0,0,0,0,0,1,86280,3,17,600,19,0,0,0,0,0,0,0,0,0,1,1,0,0,41,40,379.3,597.7,9.25,14.94,200.0
0,1,0,0,0,0,0,0,880,4,18,600,7,1,0,1,1,0,0,0,1,0,0,0,0,1,52,52,505.5,372.2,9.72,7.16,620.7
0,1,0,0,0,0,0,0,55640,5,19,600,-53,0,2,1,1,0,0,0,1,0,0,1,0,0,15,15,127.3,66.0,8.49,4.4,54254.5
0,1,0,0,0,0,0,0,55849,6,20,600,-4,0,2,0,0,0,0,0,0,0,1,1,0,0,27,27,482.8,472.3,17.88,17.49,81.7
0,1,0,0,0,0,0,0,57796,7,21,600,-46,1,2,1,1,0,0,0,0,0,1,0,0,1,29,30,528.5,377.9,18.22,12.6,1464.2
0,1,0,0,0,0,0,0,59794,8,22,600,65,1,0,0,0,0,1,0,0,0,1,0,0,1,36,36,525.2,392.7,14.59,10.91,1469.5
0,1,0,0,0,0,0,0,60967,9,23,600,3,0,0,0,0,0,0,1,1,0,0,0,0,1,19,19,219.2,262.3,11.54,13.81,647.8
0,1,0,0,0,0,0,0,61476,10,24,600,-50,1,2,0,0,0,1,0,1,0,0,1,0,0,16,17,184.4,135.3,11.52,7.96,289.8
0,0,1,0,0,0,0,0,5404,7,25,600,45,0,0,0,0,0,0,0,0,0,1,1,0,0,27,26,288.3,294.5,10.68,11.33,30143.6
0,0,1,0,0,0,0,0,6091,8,26,600,4,1,2,0,1,0,1,0,1,0,0,0,0,1,56,57,598.7,572.1,10.69,10.04,398.7
0,0,1,0,0,0,0,0,7323,9,27,600,7,0,2,0,0,0,0,0,0,0,1,1,0,0,42,42,398.4,435.9,9.49,10.38,633.3
0,0,1,0,0,0,0,0,37993,10,28,600,32,1,0,0,1,0,0,1,0,0,1,0,0,1,24,24,257.0,133.1,10.71,5.55,30271.6
0,0,1,0,0,0,0,0,83563,5,29,600,-20,1,0,0,0,0,1,0,1,0,0,0,0,1,21,21,113.1,60.3,5.39,2.87,45313.0
0,0,1,0,0,0,0,0,83758,6,30,600,-2,0,0,0,0,0,0,0,1,0,0,1,0,0,6,5,15.7,30.1,2.62,6.02,81.9
0,0,0,1,0,0,0,0,821,7,31,600,92,1,0,1,1,0,0,0,1,0,0,1,0,0,37,37,306.6,236.7,8.29,6.4,3447.3
0,0,0,1,0,0,0,0,1438,8,32,600,3,0,0,0,0,0,0,0,1,0,0,1,0,0,73,72,566.2,257.7,7.76,3.58,310.4
0,0,0,1,0,0,0,0,2641,9,33,600,-154,1,2,0,0,0,0,0,1,0,0,1,0,0,9,9,47.3,34.1,5.26,3.79,636.8
0,0,0,1,0,0,0,0,2760,10,34,600,-154,0,2,0,1,0,0,1,0,0,1,1,0,0,32,32,388.1,448.2,12.13,14.01,71.7
0,0,0,1,0,0,0,0,3652,11,35,600,-154,1,0,0,0,0,0,0,0,0,1,0,0,1,31,31,306.4,296.7,9.88,9.57,503.9
0,0,0,1,0,0,0,0,4272,12,36,600,-154,0,2,1,1,0,0,0,1,0,0,0,0,1,44,44,598.3,590.4,13.6,13.42,313.6
0,0,0,1,0,0,0,0,43172,1,1,600,-8,0,0,0,0,1,1,0,0,0,1,1,0,0,87,86,456.8,235.5,5.25,2.74,643101.7
0,0,0,1,0,0,0,0,43923,2,2,600,11,1,0,0,1,0,1,0,1,0,0,0,0,1,25,26,253.6,157.0,10.14,6.04,294.2
0,0,0,1,0,0,0,0,44472,3,3,600,-44,0,2,1,0,1,0,0,1,0,0,1,0,0,54,54,430.1,419.9,7.96,7.78,295.4
0,0,0,1,0,0,0,0,45383,4,4,600,-46,1,2,0,0,0,1,0,0,0,1,1,0,0,20,21,139.3,139.3,6.97,6.63,480.9
0,0,0,1,0,0,0,0,45701,5,5,600,-15,1,0,0,0,0,1,0,0,0,1,0,0,1,23,23,267.6,402.9,11.63,17.52,178.7
0,0,0,1,0,0,0,0,46407,6,6,600,18,0,0,1,0,1,0,1,1,0,0,0,0,1,60,59,443.3,290.4,7.39,4.92,438.4
0,0,0,1,0,0,0,0,54826,7,7,600,7,0,0,0,0,0,1,0,1,0,0,1,0,0,55,55,433.7,553.9,7.89,10.07,7975.7
0,0,0,1,0,0,0,0,55882,8,8,600,25,1,0,0,1,0,1,0,1,0,0,1,0,0,30,30,490.3,242.3,16.34,8.08,622.3
0,0,0,1,0,0,0,0,60212,9,9,600,52,0,0,0,0,1,1,0,1,0,0,1,0,0,16,15,59.0,124.2,3.69,8.28,3839.7
0,0,0,1,0,0,0,0,60432,10,10,600,20,0,0,1,1,0,0,0,1,0,0,1,0,0,26,25,313.7,265.2,12.07,10.61,161.0
0,0,0,1,0,0,0,0,61062,11,11,600,-27,1,0,0,0,0,1,0,1,0,0,1,0,0,11,11,53.7,71.5,4.88,6.5,316.3
0,0,0,1,0,0,0,0,61211,12,12,600,38,1,0,0,1,0,1,0,1,0,0,1,0,0,65,65,427.0,512.5,6.57,7.88,95.3
0,0,0,0,1,0,0,0,12328,13,13,600,17,0,2,1,0,1,0,0,1,0,0,1,0,0,55,55,599.9,453.0,10.91,8.24,37090.0
0,0,0,0,1,0,0,0,13413,14,14,600,-13,1,0,1,1,0,0,0,0,0,1,1,0,0,29,29,394.5,196.5,13.6,6.78,485.1
0,0,0,0,1,0,0,0,14022,15,15,600,55,0,0,1,1,0,0,0,1,0,0,0,0,1,42,41,350.3,265.5,8.34,6.48,214.5
0,0,0,0,1,0,0,0,14663,16,16,600,8,1,2,0,0,0,0,0,1,0,0,1,0,0,28,29,310.2,240.1,11.08,8.28,290.7
