prediction_class_0,prediction_class_1,prediction_class_2,IsSunday,IsMonday,IsTuesday,IsWednesday,IsThursday,IsFriday,IsSaturday,LastResultIsWin,LastResultIsDraw,LastResultIsLoss,2ndLastResultIsWin,2ndLastResultIsDraw,2ndLastResultIsLoss,TimeOfDay,GameOfDay,GameOfWeek,EloDifference,TimeSinceLast
0.46330568,0.19229238,0.34440193,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.4219907,0.24113579,0.33687356,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.33921894,0.33858278,0.3221982,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.34672883,0.27230844,0.3809627,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.36596167,0.27175078,0.36228755,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.2504721,0.4277663,0.3217616,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.4318417,0.21604931,0.352109,0,0,0,0,0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.5144732,0.17213427,0.31339252,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.46969754,0.219123,0.31117946,0,0,0,0,1,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.40388963,0.30300432,0.2931061,0,0,0,1,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.39471382,0.24989839,0.3553878,0,0,1,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.4149645,0.24840261,0.33663285,0,1,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.2831153,0.4062545,0.31063014,1,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.40964165,0.17097934,0.41937903,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.4892404,0.1365645,0.3741951,0,0,0,0,0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.4499281,0.17533387,0.374738,0,0,0,0,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.3795289,0.2526509,0.36782026,0,0,0,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.3761248,0.19866633,0.4252089,0,0,1,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.37006348,0.24119252,0.388744,0,1,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.28815463,0.33097404,0.38087133,1,0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.4596832,0.15467072,0.3856461,0,0,0,0,0,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.5400192,0.121516414,0.33846432,0,0,0,0,0,1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.49766922,0.15833412,0.34399664,0,0,0,0,1,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.4462636,0.22328973,0.33044663,0,0,0,1,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.4251347,0.18102096,0.3938444,0,0,1,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.41907024,0.22018333,0.3607464,0,1,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.32320926,0.31191757,0.36487314,1,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.41236398,0.19298023,0.39465582,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.48940653,0.16066383,0.34992966,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.4504861,0.20360768,0.34590623,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.36994898,0.29206574,0.33798528,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.37340996,0.23195885,0.3946312,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.3713489,0.27505055,0.3536006,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.2788265,0.3766476,0.34452593,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.46736592,0.17299765,0.3596364,0,0,0,0,0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.5450957,0.14153773,0.3133666,0,0,0,0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.5031986,0.18218148,0.31461987,0,0,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.4410932,0.25680974,0.30209705,0,0,0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.4271587,0.20987725,0.36296406,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.4252715,0.24914242,0.32558608,0,1,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.31755468,0.35362938,0.3288159,1,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.43488333,0.13687557,0.42824107,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.511126,0.11284894,0.37602505,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.47407943,0.14612608,0.37979445,0,0,0,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.40671456,0.21415077,0.37913465,0,0,0,1,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.39917555,0.16676702,0.43405747,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.3758663,0.2443522,0.3797815,0,1,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.31448063,0.28570393,0.39981538,1,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.49003068,0.121990934,0.3879784,0,0,0,0,0,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.56620824,0.098877355,0.33491442,0,0,0,0,0,1,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.52652806,0.13000199,0.34346995,0,0,0,0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.47912863,0.18604776,0.33482358,0,0,0,1,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.45357102,0.14987954,0.39654943,0,0,1,0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.4298116,0.22101003,0.34917834,0,1,0,0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.35532242,0.26611763,0.37855998,1,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.3933073,0.23778276,0.36890996,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.47062278,0.19958946,0.32978773,0,0,0,0,0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.42800453,0.24990642,0.32208905,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
0.34302115,0.3498452,0.30713367,0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-10.0,0.0
